,timestamp,actions_heatpump_operation_modus,actions_heatpump_compression_states,actions_heatpump_temp_setpoint,actions_heatpump_flow_setpoint,actions_battery_system_status,actions_battery_real_power,actions_battery_reactive_power,actions_battery_reason,actions_chargingstation_totalpower,actions_reset_heatpump_timer,actions_distr_heat_temp_sp,costs_discounted_cost_calculated,costs_pv,costs_battery,costs_base_cs,costs_grid_cs,costs_cs_cost_calculated,costs_base_el,costs_grid_el,costs_grid_only_solar,costs_el_cost_calculated,costs_savings_calculated,costs_el_savings,costs_cs_savings,costs_el_savings_wout_battery,costs_heat_cost_calculated,battery_state_of_charge,battery_battery_status,battery_battery_operating_status,battery_system_status,battery_power,pv_1_power,electricity_demand_total_load,electricity_demand_heatpump_load,price_price
2023-01-01 00:00:00,1672527600.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,,,,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.46569632556437246,1.5594463255643725,0.46569632556437246,True,True,-1.3289449292721882,-0.10971010152863336,-0.10971010152863336,,20.0,operating,discharging,operating,-50000.0,0.0,21288.974882942748,0.0,8.2e-05
2023-01-01 00:15:00,1672532100.0,off,{1: 1},55.0,2.0,operating,20846.75564416334,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.456022779716073,0.0,0.456022779716073,True,True,0.22082785044388503,-0.10971010152863336,-0.10971010152863342,False,25.015625,operating,charging,operating,-50000.0,0.0,20846.75564416334,,8.2e-05
2023-01-01 00:30:00,1672533000.0,off,{1: 1},55.0,2.0,operating,20423.362531229966,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.4467610553706555,0.0,0.4467610553706555,True,True,0.21156612609846753,-0.10971010152863336,-0.10971010152863331,False,22.76065402776011,operating,discharging,operating,20846.75564416334,0.0,20423.362531229966,0.0,8.2e-05
2023-01-01 00:45:00,1672533900.0,off,{1: 1},55.0,2.0,operating,5294.217886403646,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.4371206878381102,0.3213096715730304,0.4371206878381102,True,True,-0.11938391300710816,-0.10971010152863336,-0.10971010152863336,False,20.551481029833713,operating,discharging,operating,20423.362531229966,0.0,19982.660015456466,0.0,8.2e-05
2023-01-01 01:00:00,1672534800.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.429803918973093,1.523553918973093,0.429803918973093,True,True,-1.328944929272188,-0.10971010152863336,-0.10971010152863336,False,20.0,operating,discharging,operating,5294.217886403646,0.0,19648.179153055684,0.0,6.709999999999999e-05
2023-01-01 01:15:00,1672535700.0,off,{1: 1},55.0,2.0,operating,19217.07561029804,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.42037352897526964,0.0,0.42037352897526964,True,True,0.18517859970308165,-0.10971010152863336,-0.10971010152863331,False,25.015625,operating,charging,operating,-50000.0,0.0,19217.07561029804,0.0,6.709999999999999e-05
2023-01-01 01:30:00,1672536600.0,off,{1: 1},55.0,2.0,operating,18749.787347006357,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.4101515982157641,0.0,0.4101515982157641,True,True,0.1749566689435761,-0.10971010152863336,-0.10971010152863336,False,22.93693475139559,operating,discharging,operating,19217.07561029804,0.0,18749.787347006357,0.0,6.709999999999999e-05
2023-01-01 01:45:00,1672537500.0,off,{1: 1},55.0,2.0,operating,8724.389452435718,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.40110425888239226,0.21025823961036094,0.40110425888239226,True,True,-0.04434891000015667,-0.10971010152863336,-0.10971010152863331,False,20.908790567962054,operating,discharging,operating,18749.787347006357,0.0,18336.194691766505,0.0,6.709999999999999e-05
2023-01-01 02:00:00,1672538400.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.3900721990736657,1.4838221990736657,0.3900721990736657,True,True,-1.3289449292721882,-0.10971010152863336,-0.10971010152863336,False,20.0,operating,discharging,operating,8724.389452435718,0.0,17831.871957653297,0.0,7.51e-05
2023-01-01 02:15:00,1672539300.0,off,{1: 1},55.0,2.0,operating,17412.800903605472,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.3809050197663697,0.0,0.3809050197663697,True,True,0.1457100904941817,-0.10971010152863336,-0.10971010152863336,False,25.015625,operating,charging,operating,-50000.0,0.0,17412.800903605472,0.0,7.51e-05
2023-01-01 02:30:00,1672540200.0,off,{1: 1},55.0,2.0,operating,17006.068852519937,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.3720077561488736,0.0,0.3720077561488736,True,True,0.1368128268766856,-0.10971010152863336,-0.10971010152863336,False,23.13210119163146,operating,discharging,operating,17412.800903605472,0.0,17006.068852519937,0.0,7.51e-05
